EPISODE_ID,EVENT_ID,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME
142378,854862,EF1,9.09,150,,,,
142429,855002,EF1,3.59,350,,,,
135529,813008,EFU,1.48,200,,,,
134886,810821,EF1,2.07,275,,,,
135596,813542,EF0,1.54,75,,,,
133570,799239,EF3,9.74,440,,,,
135529,813009,EFU,0.64,40,,,,
135529,813010,EFU,2.08,50,,,,
134887,810790,EF1,4.53,150,,,,
134886,810822,EF0,18.37,300,,,,
134905,816288,EF0,5.75,100,,,,
135157,810157,EF0,1.17,25,,,,
134100,802941,EF0,0.01,75,,,,
133941,801915,EF0,0.38,25,,,,
133725,801141,EF0,0.17,10,,,,
134887,810793,EF1,0.72,180,,,,
134886,810831,EF1,2.94,300,TAE,FL,63,JACKSON
134905,816315,EF1,4.24,250,,,,
137200,823554,EFU,1.9,100,,,,
134887,810795,EF0,7.45,75,,,,
134886,810835,EF1,2.35,300,,,,
133987,803840,EF1,0.81,880,,,,
134504,805908,EF1,2.22,125,PAH,KY,7,BALLARD
134886,810842,EF2,3.76,700,,,,
136526,821391,EFU,0.31,50,,,,
134504,805909,EF2,3.32,300,PAH,KY,145,MCCRACKEN
134504,805910,EF2,11.17,300,,,,
136054,817199,EF1,3.05,200,,,,
134887,810783,EF1,6.98,860,FFC,GA,259,STEWART
133963,801834,EF1,1.46,150,,,,
133963,801835,EF1,0.6,200,,,,
133963,809712,EF0,0.17,25,,,,
136722,820223,EF0,4.9,100,,,,
136054,817226,EF0,5.03,200,,,,
134299,804381,EF1,2.87,100,,,,
135611,814846,EF2,4.2,600,TAE,GA,239,QUITMAN
136690,822523,EF1,10,300,,,,
135234,810884,EFU,2.35,30,,,,
134299,804362,EF1,8.46,100,,,,
135301,811250,EF1,1.24,40,,,,
136776,820660,EF0,0.5,100,,,,
135085,810040,EF0,0.58,30,,,,
135542,813097,EF1,6.61,400,,,,
134299,804389,EF1,0.8,75,,,,
134886,810841,EF3,5.07,700,TAE,FL,65,JEFFERSON
136092,818634,EF1,0.05,30,,,,
135561,813539,EF1,2.57,100,,,,
135561,813655,EF1,0.27,50,,,,
135561,813657,EF1,2.65,50,,,,
133866,801231,EF0,6.4,100,,,,
136092,818638,EF1,0.33,30,,,,
134696,811340,EF2,17,800,,,,
134696,811341,EF0,3,50,CLE,OH,153,SUMMIT
134988,808987,EFU,0.86,30,,,,
136142,822179,EF0,2.5,100,,,,
136142,822181,EF0,1.2,50,,,,
136142,822195,EFU,0.1,50,,,,
136210,817381,EF0,1.2,100,,,,
136210,817385,EF0,1,75,,,,
136054,816986,EF1,3.75,100,,,,
136054,817000,EF1,1.84,100,,,,
135561,813537,EF1,0.16,300,,,,
136054,817238,EF0,1.84,50,,,,
133866,801365,EF0,6.54,75,,,,
135611,813640,EF4,23.55,1600,FFC,GA,215,MUSCOGEE
135611,814841,EF0,0.42,50,,,,
136401,818648,EF0,1.49,70,BMX,AL,109,PIKE
136773,821967,EF0,0.98,50,,,,
134634,807379,EF0,0.03,30,,,,
136142,822223,EF0,2,650,,,,
136142,822251,EF1,3.4,1100,TSA,OK,115,OTTAWA
136142,822264,EF0,0.7,450,,,,
136054,817001,EF0,2.41,100,,,,
133866,802004,EF0,8.05,125,,,,
